[2026-07-03T03:49:09.789Z] GET /game/assets/sounds/sun_pickup.mp3 HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:49:09.793Z] GET /game/assets/sounds/sun_pickup.mp3 HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:49:15.270Z] GET /game/assets/sounds/plant.mp3 HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:49:15.271Z] GET /game/assets/sounds/plant.mp3 HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:49:32.554Z] GET /game/assets/images/regularZombie.png HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:49:32.555Z] GET /game/assets/sounds/zombie_spawn.mp3 HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:49:32.557Z] GET /game/assets/sounds/zombie_spawn.mp3 HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:49:39.956Z] GET /game/assets/sounds/shoot.mp3 HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:49:39.957Z] GET /game/assets/sounds/shoot.mp3 HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:49:41.956Z] GET /game/assets/sounds/shoot.mp3 HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:50:17.966Z] GET /game/assets/sounds/shoot.mp3 HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:50:24.416Z] GET /game/assets/images/strongerZombie.png HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:50:31.400Z] GET /game/assets/sounds/shoot.mp3 HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:50:35.400Z] GET /game/assets/sounds/shoot.mp3 HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:51:00.942Z] GET /game/assets/images/zombie-eating.png HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:51:00.947Z] GET /game/assets/sounds/zombie_gulp.mp3 HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:51:00.950Z] GET /game/assets/sounds/zombie_gulp.mp3 HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:51:00.954Z] GET /game/assets/sounds/shoot.mp3 HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:51:48.482Z] GET /ranking HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:34.324Z] GET /ranking HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:34.333Z] GET /login HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:35.884Z] POST /login HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:35.980Z] GET / HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:36.003Z] GET /game/index.html HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:36.015Z] GET /game/js/main.js HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
[2026-07-03T03:52:36.017Z] GET /game/css/style.css HTTP/1.1 - UserAgent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:149.0) Gecko/20100101 Firefox/149.0
